name,surname,email,password,dateOfBirth,dateJoined,jobTitle,department,isManager,managerEmail,status,sex,nationality,phoneNumber
Jeffrey,Thornton,jeffrey.thornton@fripl.com,123456789,2002-03-10,2024-10-10,Corporate Counsel,Legal,No,melinda.brown@fripl.com,active,male,Luxembourg,001-398-146-7566x70027
William,Wilson,william.wilson@fripl.com,123456789,1967-03-04,2022-04-24,HR Specialist,Human Ressources,No,anthony.frost@fripl.com,active,female,Guadeloupe,(260)414-7386x294
Lisa,Harmon,lisa.harmon@fripl.com,123456789,1982-09-28,2023-09-19,HR Specialist,Human Ressources,No,anthony.frost@fripl.com,active,female,Bangladesh,802-130-3506x0752
Michael,Jackson,michael.jackson@fripl.com,123456789,2002-06-28,2025-01-15,Finance Analyst,Finance,No,kristina.brandt@fripl.com,active,male,United States Virgin Islands,001-024-222-3627x0742
Carmen,Richardson,carmen.richardson@fripl.com,123456789,1968-01-27,2023-12-08,Content Strategist,Marketing,No,adam.ware@fripl.com,active,male,Philippines,(437)245-9851x2758
Cindy,Hatfield,cindy.hatfield@fripl.com,123456789,1992-03-30,2020-09-11,IT Support,Information technology,No,ann.thompson@fripl.com,active,female,Mali,318.569.9135
Rebekah,Thomas,rebekah.thomas@fripl.com,123456789,1979-01-31,2025-03-01,Software Engineer,Information technology,No,ann.thompson@fripl.com,active,female,Pitcairn Islands,406-850-5961x493
Keith,Brown,keith.brown@fripl.com,123456789,1964-08-27,2024-07-23,Software Engineer,Information technology,No,ann.thompson@fripl.com,active,female,Macao,+1-529-142-7597x794
Luis,Chambers,luis.chambers@fripl.com,123456789,1978-09-10,2023-04-01,Accountant,Finance,No,kristina.brandt@fripl.com,active,male,New Caledonia,(649)487-8166x64620
Stacey,Freeman,stacey.freeman@fripl.com,123456789,1965-06-12,2023-03-03,Logistics Manager,Operations,Yes,kenneth.khan@fripl.com,active,male,Russian Federation,(026)885-2501
Kenneth,Rosales,kenneth.rosales@fripl.com,123456789,2003-01-03,2023-09-02,IT Support,Information technology,No,ann.thompson@fripl.com,active,male,Jersey,657.736.9148x568
Randy,Harris,randy.harris@fripl.com,123456789,1994-08-02,2020-06-19,HR Manager,Human Ressources,Yes,anthony.frost@fripl.com,active,male,Svalbard & Jan Mayen Islands,949.049.1906
Jessica,Andrews,jessica.andrews@fripl.com,123456789,1994-01-03,2024-07-29,Paralegal,Legal,No,melinda.brown@fripl.com,active,female,Kiribati,(978)647-2188
Alexander,Vasquez,alexander.vasquez@fripl.com,123456789,1992-07-08,2021-05-14,Operations Manager,Operations,Yes,kenneth.khan@fripl.com,active,female,Egypt,3398162127
Alexis,Williams,alexis.williams@fripl.com,123456789,1964-11-27,2025-01-30,Paralegal,Legal,No,melinda.brown@fripl.com,active,female,Pakistan,702-830-8280
Robert,Davis,robert.davis@fripl.com,123456789,1964-10-23,2021-09-29,Sales Associate,Sales,No,matthew.snyder@fripl.com,active,male,Saudi Arabia,587.748.4464
Victor,Price,victor.price@fripl.com,123456789,1980-10-31,2021-07-24,Finance Analyst,Finance,No,kristina.brandt@fripl.com,active,male,Norfolk Island,001-194-410-9307x83498
Madison,Maxwell,madison.maxwell@fripl.com,123456789,1969-07-29,2021-03-01,Corporate Counsel,Legal,No,melinda.brown@fripl.com,active,male,Peru,4741373107
Melissa,Horton,melissa.horton@fripl.com,123456789,1970-09-21,2020-12-24,Operations Associate,Operations,No,kenneth.khan@fripl.com,active,male,India,535-518-5068x3342
Albert,Collins,albert.collins@fripl.com,123456789,1969-01-18,2021-02-03,IT Manager,Information technology,Yes,ann.thompson@fripl.com,active,male,United States of America,+1-298-394-8870x4127
Cody,Lewis,cody.lewis@fripl.com,123456789,1983-06-12,2022-02-27,Software Engineer,Information technology,No,ann.thompson@fripl.com,active,male,Angola,001-188-611-1296x6762
Lucas,Powell,lucas.powell@fripl.com,123456789,1997-03-01,2021-11-24,Account Executive,Sales,No,matthew.snyder@fripl.com,active,female,Ukraine,(879)019-4235x4298
Brian,Norman,brian.norman@fripl.com,123456789,1986-07-30,2022-06-02,HR Specialist,Human Ressources,No,anthony.frost@fripl.com,active,female,India,001-493-626-1862x1533
Heather,Patrick,heather.patrick@fripl.com,123456789,1986-07-22,2022-09-09,HR Coordinator,Human Ressources,No,anthony.frost@fripl.com,active,male,Ukraine,(209)596-3027x06133
Maria,Yang,maria.yang@fripl.com,123456789,2002-04-22,2024-05-01,Finance Analyst,Finance,No,kristina.brandt@fripl.com,active,female,Australia,001-276-276-3164x47258
Elizabeth,Hopkins,elizabeth.hopkins@fripl.com,123456789,1977-11-03,2022-07-24,Finance Manager,Finance,Yes,kristina.brandt@fripl.com,active,male,Guatemala,001-439-281-7308x81561
Annette,Gibson,annette.gibson@fripl.com,123456789,1997-05-08,2021-12-29,HR Specialist,Human Ressources,No,anthony.frost@fripl.com,active,female,Norfolk Island,001-898-533-9339x877
Victoria,Caldwell,victoria.caldwell@fripl.com,123456789,1999-10-25,2022-11-20,Finance Manager,Finance,Yes,kristina.brandt@fripl.com,active,male,Marshall Islands,544-616-7253x5940
Steven,Maddox,steven.maddox@fripl.com,123456789,1972-01-07,2021-11-01,Content Strategist,Marketing,No,adam.ware@fripl.com,active,male,Belarus,260-925-9933
Shaun,Fleming,shaun.fleming@fripl.com,123456789,1965-07-19,2021-06-29,Marketing Coordinator,Marketing,No,adam.ware@fripl.com,active,female,Saint Lucia,+1-293-895-8327x825
Vincent,Morse,vincent.morse@fripl.com,123456789,1984-08-03,2021-03-09,Corporate Counsel,Legal,No,melinda.brown@fripl.com,active,male,Argentina,+1-769-787-8639x72533
Dominique,Bruce,dominique.bruce@fripl.com,123456789,1972-03-30,2021-12-31,Marketing Coordinator,Marketing,No,adam.ware@fripl.com,active,male,Armenia,(630)442-2559x0323
Roberta,Parks,roberta.parks@fripl.com,123456789,1985-09-20,2023-01-09,Operations Manager,Operations,Yes,kenneth.khan@fripl.com,active,male,Greece,(002)594-5395x96801
Jeff,Weiss,jeff.weiss@fripl.com,123456789,1997-06-18,2023-10-09,Operations Associate,Operations,No,kenneth.khan@fripl.com,active,female,Gibraltar,946-390-6019
Lindsay,Campbell,lindsay.campbell@fripl.com,123456789,1981-02-16,2022-05-03,Marketing Coordinator,Marketing,No,adam.ware@fripl.com,active,female,Liberia,3850589100
Trevor,Holloway,trevor.holloway@fripl.com,123456789,1996-04-04,2023-01-30,HR Manager,Human Ressources,Yes,anthony.frost@fripl.com,active,female,Turkey,(027)313-0605
Jacqueline,Lindsey,jacqueline.lindsey@fripl.com,123456789,1980-04-19,2020-06-04,Operations Associate,Operations,No,kenneth.khan@fripl.com,active,male,Cuba,590.119.5679x23746
Travis,Perez,travis.perez@fripl.com,123456789,1986-02-18,2023-09-29,HR Coordinator,Human Ressources,No,anthony.frost@fripl.com,active,female,Austria,(292)198-6088
Juan,Mack,juan.mack@fripl.com,123456789,1998-08-09,2023-04-23,HR Manager,Human Ressources,Yes,anthony.frost@fripl.com,active,male,British Virgin Islands,(686)231-4003x539
Daniel,Gray,daniel.gray@fripl.com,123456789,1989-02-24,2022-01-19,Finance Analyst,Finance,No,kristina.brandt@fripl.com,active,female,Brunei Darussalam,098-751-5488
Jennifer,Robinson,jennifer.robinson@fripl.com,123456789,1969-01-03,2022-02-03,Corporate Counsel,Legal,No,melinda.brown@fripl.com,active,female,Congo,001-629-820-8602x063
Kristi,Pace,kristi.pace@fripl.com,123456789,1998-09-07,2022-09-06,Operations Associate,Operations,No,kenneth.khan@fripl.com,active,female,Benin,852-210-0785x3943
Manuel,Thomas,manuel.thomas@fripl.com,123456789,1987-02-21,2021-09-23,IT Support,Information technology,No,ann.thompson@fripl.com,active,female,Indonesia,535.039.7192x890
Jessica,Ellis,jessica.ellis@fripl.com,123456789,1965-10-19,2021-02-05,Software Engineer,Information technology,No,ann.thompson@fripl.com,active,male,Wallis and Futuna,(220)123-0776
Jonathan,Blair,jonathan.blair@fripl.com,123456789,1984-02-05,2024-11-27,Sales Manager,Sales,Yes,matthew.snyder@fripl.com,active,male,Lebanon,5041805378
Scott,Hartman,scott.hartman@fripl.com,123456789,1986-02-08,2025-01-17,Sales Associate,Sales,No,matthew.snyder@fripl.com,active,female,Papua New Guinea,108.885.0089
Deborah,Chavez,deborah.chavez@fripl.com,123456789,1986-09-27,2022-10-28,Sales Manager,Sales,Yes,matthew.snyder@fripl.com,active,male,Malaysia,(531)191-0065
Jennifer,Rivera,jennifer.rivera@fripl.com,123456789,1988-10-20,2022-11-29,Operations Associate,Operations,No,kenneth.khan@fripl.com,active,female,Switzerland,184.663.4430x2719
Michael,Harper,michael.harper@fripl.com,123456789,1973-02-25,2024-06-25,Marketing Coordinator,Marketing,No,adam.ware@fripl.com,active,male,United States Virgin Islands,+1-297-538-2056
Anthony,Ramos,anthony.ramos@fripl.com,123456789,1987-11-23,2023-04-25,HR Coordinator,Human Ressources,No,anthony.frost@fripl.com,active,male,Kazakhstan,1080698340
Margaret,Davis,margaret.davis@fripl.com,123456789,1969-01-08,2024-05-06,Paralegal,Legal,No,melinda.brown@fripl.com,active,male,Bahrain,950.562.9498x31250
Paula,Thomas,paula.thomas@fripl.com,123456789,1990-03-08,2020-12-08,Legal Assistant,Legal,No,melinda.brown@fripl.com,active,female,Saint Vincent and the Grenadines,267.922.6491x0809
David,Parsons,david.parsons@fripl.com,123456789,1974-02-27,2024-06-14,Software Engineer,Information technology,No,ann.thompson@fripl.com,active,male,Saint Vincent and the Grenadines,982.196.0486x0447
Cindy,Nicholson,cindy.nicholson@fripl.com,123456789,1976-10-28,2023-08-08,Finance Manager,Finance,Yes,kristina.brandt@fripl.com,active,male,Liberia,(869)332-9444x557
Matthew,Ford,matthew.ford@fripl.com,123456789,1970-05-18,2023-02-20,Logistics Manager,Operations,Yes,kenneth.khan@fripl.com,active,male,Chad,304.089.5738
Christina,Strickland,christina.strickland@fripl.com,123456789,1991-04-17,2022-11-10,Content Strategist,Marketing,No,adam.ware@fripl.com,active,male,Madagascar,896.919.8908
Michael,Walker,michael.walker@fripl.com,123456789,1993-11-08,2023-02-11,Marketing Coordinator,Marketing,No,adam.ware@fripl.com,active,male,Spain,972-661-3938
John,Patrick,john.patrick@fripl.com,123456789,1970-05-08,2023-09-08,IT Support,Information technology,No,ann.thompson@fripl.com,active,male,Estonia,+1-304-159-1656x1077
Nicholas,Rodriguez,nicholas.rodriguez@fripl.com,123456789,1995-12-30,2021-01-20,Finance Manager,Finance,Yes,kristina.brandt@fripl.com,active,female,Greece,(010)794-0620
Margaret,Ross,margaret.ross@fripl.com,123456789,1998-05-16,2021-02-13,Sales Associate,Sales,No,matthew.snyder@fripl.com,active,female,Mozambique,(866)645-9605
Mary,English,mary.english@fripl.com,123456789,1990-10-10,2024-12-27,Sales Associate,Sales,No,matthew.snyder@fripl.com,active,male,Korea,439.366.2682x382
Angel,Downs,angel.downs@fripl.com,123456789,1965-11-24,2022-06-20,Sales Associate,Sales,No,matthew.snyder@fripl.com,active,male,Grenada,+1-133-999-9200x608
Gerald,Terrell,gerald.terrell@fripl.com,123456789,1977-10-22,2023-08-26,Corporate Counsel,Legal,No,melinda.brown@fripl.com,active,female,Malta,001-562-146-9507x30088
Mr.,Joseph,mr..joseph@fripl.com,123456789,1984-01-01,2023-07-15,Logistics Manager,Operations,Yes,kenneth.khan@fripl.com,active,male,Germany,+1-233-661-0883x804
Deanna,Aguilar,deanna.aguilar@fripl.com,123456789,1982-08-31,2024-07-08,Account Executive,Sales,No,matthew.snyder@fripl.com,active,female,Tonga,+1-276-599-4589
Jason,Caldwell,jason.caldwell@fripl.com,123456789,1965-03-29,2022-05-07,Software Engineer,Information technology,No,ann.thompson@fripl.com,active,female,Bermuda,449.219.2925
Deborah,Morrison,deborah.morrison@fripl.com,123456789,2000-09-07,2024-01-24,HR Specialist,Human Ressources,No,anthony.frost@fripl.com,active,female,Swaziland,647.003.8723x871
Heather,Williams,heather.williams@fripl.com,123456789,1965-08-20,2021-12-19,IT Support,Information technology,No,ann.thompson@fripl.com,active,female,Libyan Arab Jamahiriya,001-239-158-5095x1010
Shane,Avila,shane.avila@fripl.com,123456789,1977-03-25,2021-07-23,Operations Manager,Operations,Yes,kenneth.khan@fripl.com,active,male,Korea,+1-633-820-1837x29580
John,Jarvis,john.jarvis@fripl.com,123456789,1986-12-10,2022-10-16,Software Engineer,Information technology,No,ann.thompson@fripl.com,active,female,Oman,+1-496-933-3192
Brittney,Johnson,brittney.johnson@fripl.com,123456789,1982-09-07,2020-07-15,Accountant,Finance,No,kristina.brandt@fripl.com,active,female,Liberia,(231)484-3428
Natalie,Daniels,natalie.daniels@fripl.com,123456789,1984-12-18,2021-06-11,Marketing Manager,Marketing,Yes,adam.ware@fripl.com,active,male,Senegal,275-608-9911x236
Debra,Moyer,debra.moyer@fripl.com,123456789,2002-03-11,2021-11-18,Software Engineer,Information technology,No,ann.thompson@fripl.com,active,male,Jordan,854.533.4808
Eric,Hicks,eric.hicks@fripl.com,123456789,1999-11-14,2021-09-02,IT Support,Information technology,No,ann.thompson@fripl.com,active,female,Senegal,+1-293-220-9128x5427
Matthew,Oneill,matthew.oneill@fripl.com,123456789,1969-12-05,2022-12-05,Content Strategist,Marketing,No,adam.ware@fripl.com,active,female,Switzerland,107.965.4141x011
Kelly,Brown,kelly.brown@fripl.com,123456789,1976-12-31,2023-05-02,Sales Associate,Sales,No,matthew.snyder@fripl.com,active,female,Vanuatu,841.373.7557x5528
Maria,Williams,maria.williams@fripl.com,123456789,1979-06-02,2022-05-06,IT Manager,Information technology,Yes,ann.thompson@fripl.com,active,male,Somalia,9094304770
Megan,Harrison,megan.harrison@fripl.com,123456789,1972-10-30,2021-11-14,Marketing Manager,Marketing,Yes,adam.ware@fripl.com,active,female,Luxembourg,(480)560-6392x8790
Ellen,Lewis,ellen.lewis@fripl.com,123456789,1977-11-21,2021-07-03,Account Executive,Sales,No,matthew.snyder@fripl.com,active,male,Sweden,758-928-6919x46665
Katrina,Avila,katrina.avila@fripl.com,123456789,1983-02-10,2021-02-23,HR Manager,Human Ressources,Yes,anthony.frost@fripl.com,active,male,New Zealand,(404)871-8393
Christina,Lowery,christina.lowery@fripl.com,123456789,1974-08-02,2020-08-11,HR Specialist,Human Ressources,No,anthony.frost@fripl.com,active,male,Egypt,+1-463-027-0558x563
Lisa,Taylor,lisa.taylor@fripl.com,123456789,1995-03-29,2023-01-23,Marketing Manager,Marketing,Yes,adam.ware@fripl.com,active,male,Norfolk Island,(768)364-1199
Valerie,Jones,valerie.jones@fripl.com,123456789,1982-08-04,2023-12-15,HR Coordinator,Human Ressources,No,anthony.frost@fripl.com,active,female,Togo,579.848.6894
John,Molina,john.molina@fripl.com,123456789,1967-09-25,2022-04-14,Legal Assistant,Legal,No,melinda.brown@fripl.com,active,male,Bosnia and Herzegovina,(106)314-0028x396
Jonathan,Farmer,jonathan.farmer@fripl.com,123456789,1978-07-25,2024-12-12,HR Coordinator,Human Ressources,No,anthony.frost@fripl.com,active,female,Cuba,201-649-9228
Cynthia,Bates,cynthia.bates@fripl.com,123456789,1975-05-06,2020-12-11,HR Manager,Human Ressources,Yes,anthony.frost@fripl.com,active,female,Austria,001-872-187-2834
Cynthia,Owens,cynthia.owens@fripl.com,123456789,1991-09-14,2020-05-17,Marketing Coordinator,Marketing,No,adam.ware@fripl.com,active,male,Samoa,626.594.6564x9896
Marissa,Rios,marissa.rios@fripl.com,123456789,1964-10-23,2021-08-24,HR Coordinator,Human Ressources,No,anthony.frost@fripl.com,active,male,Fiji,470.359.3852
Rodney,Brown,rodney.brown@fripl.com,123456789,1984-04-26,2024-12-03,Legal Assistant,Legal,No,melinda.brown@fripl.com,active,male,Puerto Rico,001-601-375-6397x98403
Edward,Walton,edward.walton@fripl.com,123456789,1983-04-18,2023-08-17,Operations Manager,Operations,Yes,kenneth.khan@fripl.com,active,male,Tajikistan,+1-508-570-6676x818
Daniel,Long,daniel.long@fripl.com,123456789,1979-10-07,2023-08-07,Content Strategist,Marketing,No,adam.ware@fripl.com,active,male,Western Sahara,546-768-0676x305
Kristen,Ramirez,kristen.ramirez@fripl.com,123456789,1988-11-26,2020-09-30,Marketing Coordinator,Marketing,No,adam.ware@fripl.com,active,male,Paraguay,221.407.6522
Kara,Tran,kara.tran@fripl.com,123456789,1987-12-07,2024-04-13,Paralegal,Legal,No,melinda.brown@fripl.com,active,male,Trinidad and Tobago,001-768-913-5831x3481
Timothy,Douglas,timothy.douglas@fripl.com,123456789,1992-09-07,2021-09-14,HR Specialist,Human Ressources,No,anthony.frost@fripl.com,active,male,Ireland,144.558.5976x51524
Jesus,Morris,jesus.morris@fripl.com,123456789,1988-11-12,2022-12-20,Sales Associate,Sales,No,matthew.snyder@fripl.com,active,male,Ecuador,673-237-1649
John,Castro,john.castro@fripl.com,123456789,1967-11-26,2023-03-24,HR Specialist,Human Ressources,No,anthony.frost@fripl.com,active,male,Sao Tome and Principe,+1-780-234-5880x1434
Ashley,Ramos,ashley.ramos@fripl.com,123456789,1965-03-30,2024-01-29,Software Engineer,Information technology,No,ann.thompson@fripl.com,active,male,Hungary,+1-878-215-3699x5346
Michael,Simpson,michael.simpson@fripl.com,123456789,2002-04-12,2021-05-18,Logistics Manager,Operations,Yes,kenneth.khan@fripl.com,active,female,Czech Republic,(638)680-3922
Jeffrey,Williams,jeffrey.williams@fripl.com,123456789,1999-07-09,2023-02-16,HR Manager,Human Ressources,Yes,anthony.frost@fripl.com,active,male,Romania,522.033.2238x7486
Virginia,Gonzalez,virginia.gonzalez@fripl.com,123456789,1983-06-23,2022-03-02,Sales Manager,Sales,Yes,matthew.snyder@fripl.com,active,female,Madagascar,+1-871-780-9854
John,Gray,john.gray@fripl.com,123456789,1987-06-12,2025-04-27,Software Engineer,Information technology,No,ann.thompson@fripl.com,active,female,Cambodia,6128371284
Stacy,Stanley,stacy.stanley@fripl.com,123456789,2000-11-11,2021-01-08,Sales Associate,Sales,No,matthew.snyder@fripl.com,active,female,Holy See (Vatican City State),+1-329-904-0555x837
William,Holloway,william.holloway@fripl.com,123456789,1978-03-15,2023-06-05,Sales Associate,Sales,No,matthew.snyder@fripl.com,active,male,Italy,+1-453-900-3685x633
Nicolas,Kim,nicolas.kim@fripl.com,123456789,2002-07-22,2025-03-01,Content Strategist,Marketing,No,adam.ware@fripl.com,active,female,Zimbabwe,486.220.9175
Kathleen,Armstrong,kathleen.armstrong@fripl.com,123456789,1985-08-07,2023-07-22,Content Strategist,Marketing,No,adam.ware@fripl.com,active,female,Belarus,+1-400-652-6564
Taylor,Mcconnell,taylor.mcconnell@fripl.com,123456789,1974-06-30,2023-03-08,HR Specialist,Human Ressources,No,anthony.frost@fripl.com,active,male,Korea,+1-278-332-7854
Ricky,Harris,ricky.harris@fripl.com,123456789,1979-02-04,2023-02-04,Finance Analyst,Finance,No,kristina.brandt@fripl.com,active,female,Dominica,+1-680-543-4557x216
William,Cooper,william.cooper@fripl.com,123456789,1966-11-21,2020-06-08,Sales Manager,Sales,Yes,matthew.snyder@fripl.com,active,male,Faroe Islands,(038)475-3805x4176
Pamela,Miller,pamela.miller@fripl.com,123456789,1970-02-24,2021-02-17,IT Support,Information technology,No,ann.thompson@fripl.com,active,female,Malta,+1-542-544-6322x13211
James,Williams,james.williams@fripl.com,123456789,1973-07-17,2023-07-10,Operations Associate,Operations,No,kenneth.khan@fripl.com,active,female,United Arab Emirates,5893126741
Lauren,Ford,lauren.ford@fripl.com,123456789,2002-12-26,2024-08-17,Sales Manager,Sales,Yes,matthew.snyder@fripl.com,active,male,Monaco,534.808.9294
Dawn,Henderson,dawn.henderson@fripl.com,123456789,1997-08-19,2023-05-13,Sales Associate,Sales,No,matthew.snyder@fripl.com,active,female,Austria,(012)391-7451x67873
Joseph,Kelley,joseph.kelley@fripl.com,123456789,1983-08-16,2020-10-04,Software Engineer,Information technology,No,ann.thompson@fripl.com,active,male,Lesotho,+1-151-430-4165x2876
Pamela,Franklin,pamela.franklin@fripl.com,123456789,1983-09-04,2020-12-30,Content Strategist,Marketing,No,adam.ware@fripl.com,active,female,Peru,1432051031
Daniel,Clarke,daniel.clarke@fripl.com,123456789,1994-07-26,2020-05-30,Marketing Coordinator,Marketing,No,adam.ware@fripl.com,active,female,San Marino,3106930361
Matthew,Reed,matthew.reed@fripl.com,123456789,1986-08-29,2022-11-07,Corporate Counsel,Legal,No,melinda.brown@fripl.com,active,female,Western Sahara,(250)809-7777x497
Logan,Cortez,logan.cortez@fripl.com,123456789,1975-07-07,2024-09-03,Corporate Counsel,Legal,No,melinda.brown@fripl.com,active,female,Senegal,347.579.0527
Sandra,Espinoza,sandra.espinoza@fripl.com,123456789,1970-01-11,2024-10-06,Legal Assistant,Legal,No,melinda.brown@fripl.com,active,female,Eritrea,+1-004-371-7276x84072
Michael,Hall,michael.hall@fripl.com,123456789,1986-07-18,2022-01-13,Content Strategist,Marketing,No,adam.ware@fripl.com,active,male,Luxembourg,4547406470
Victoria,Smith,victoria.smith@fripl.com,123456789,1964-07-29,2020-06-03,Paralegal,Legal,No,melinda.brown@fripl.com,active,female,Equatorial Guinea,+1-101-863-5477x309
Denise,Peterson,denise.peterson@fripl.com,123456789,1985-03-19,2021-04-10,Marketing Coordinator,Marketing,No,adam.ware@fripl.com,active,female,Colombia,996-118-3857x934
Clinton,Skinner,clinton.skinner@fripl.com,123456789,1989-10-14,2022-08-11,HR Specialist,Human Ressources,No,anthony.frost@fripl.com,active,female,Dominican Republic,055-433-9694x297
Jo,Novak,jo.novak@fripl.com,123456789,1979-12-14,2023-03-11,Marketing Manager,Marketing,Yes,adam.ware@fripl.com,active,male,Wallis and Futuna,8523498050
Jennifer,Day,jennifer.day@fripl.com,123456789,1985-06-22,2020-11-13,IT Manager,Information technology,Yes,ann.thompson@fripl.com,active,female,Montenegro,838-493-2006
Cameron,Contreras,cameron.contreras@fripl.com,123456789,1977-07-30,2024-02-20,Marketing Coordinator,Marketing,No,adam.ware@fripl.com,active,female,France,+1-489-333-8996x2143
Brian,Harris,brian.harris@fripl.com,123456789,1972-04-10,2024-08-15,Accountant,Finance,No,kristina.brandt@fripl.com,active,male,Lesotho,(442)949-6085
Allison,Morris,allison.morris@fripl.com,123456789,1989-07-14,2023-01-27,Account Executive,Sales,No,matthew.snyder@fripl.com,active,male,Tokelau,705-675-9172
Peter,Swanson,peter.swanson@fripl.com,123456789,1999-09-01,2024-09-16,Finance Manager,Finance,Yes,kristina.brandt@fripl.com,active,female,Guinea,535.245.4651
Susan,Cooper,susan.cooper@fripl.com,123456789,1999-12-20,2021-02-11,Operations Manager,Operations,Yes,kenneth.khan@fripl.com,active,female,Philippines,216-361-2896
Andrew,Johnson,andrew.johnson@fripl.com,123456789,1967-02-18,2024-03-29,HR Manager,Human Ressources,Yes,anthony.frost@fripl.com,active,female,Gibraltar,+1-146-849-2945
Christopher,Coleman,christopher.coleman@fripl.com,123456789,1989-12-27,2024-10-11,Corporate Counsel,Legal,No,melinda.brown@fripl.com,active,female,Faroe Islands,+1-606-526-2742x879
Sara,Diaz,sara.diaz@fripl.com,123456789,2002-01-23,2020-07-27,Paralegal,Legal,No,melinda.brown@fripl.com,active,female,Andorra,237.180.1646x07046
John,Martinez,john.martinez@fripl.com,123456789,2001-10-11,2022-12-10,HR Coordinator,Human Ressources,No,anthony.frost@fripl.com,active,female,Jersey,(449)183-4682x7555
Christopher,Wagner,christopher.wagner@fripl.com,123456789,1994-01-08,2021-08-05,Operations Associate,Operations,No,kenneth.khan@fripl.com,active,female,Sri Lanka,(445)645-1499
Mr.,Michael,mr..michael@fripl.com,123456789,1985-11-11,2022-02-01,HR Specialist,Human Ressources,No,anthony.frost@fripl.com,active,female,Afghanistan,012-932-6002
Walter,Snyder,walter.snyder@fripl.com,123456789,1976-10-28,2020-12-24,HR Manager,Human Ressources,Yes,anthony.frost@fripl.com,active,male,China,712.100.1122
Mary,Gray,mary.gray@fripl.com,123456789,1971-07-21,2024-12-09,Content Strategist,Marketing,No,adam.ware@fripl.com,active,male,France,001-718-059-2917x3491
James,Nixon,james.nixon@fripl.com,123456789,1968-11-09,2023-12-15,Accountant,Finance,No,kristina.brandt@fripl.com,active,female,Ireland,592-391-0801
Richard,Wheeler,richard.wheeler@fripl.com,123456789,1988-04-24,2022-08-15,Marketing Coordinator,Marketing,No,adam.ware@fripl.com,active,female,Sri Lanka,001-771-213-9710x536
Michael,Cooper,michael.cooper@fripl.com,123456789,2001-04-02,2025-01-18,Finance Analyst,Finance,No,kristina.brandt@fripl.com,active,female,Korea,(868)457-8217x1214
Joyce,Patterson,joyce.patterson@fripl.com,123456789,1966-01-19,2024-05-01,Operations Associate,Operations,No,kenneth.khan@fripl.com,active,male,Libyan Arab Jamahiriya,(138)971-7792x95851
Yolanda,Villegas,yolanda.villegas@fripl.com,123456789,1998-05-24,2024-07-09,HR Specialist,Human Ressources,No,anthony.frost@fripl.com,active,female,French Southern Territories,(437)079-3297x185
Ashley,Smith,ashley.smith@fripl.com,123456789,2001-05-21,2025-03-05,HR Specialist,Human Ressources,No,anthony.frost@fripl.com,active,male,Italy,672.874.9965x444
Tracy,Carey,tracy.carey@fripl.com,123456789,1988-03-16,2022-06-11,HR Specialist,Human Ressources,No,anthony.frost@fripl.com,active,female,Faroe Islands,(595)961-6332
Luke,Shah,luke.shah@fripl.com,123456789,1994-05-24,2021-10-04,IT Support,Information technology,No,ann.thompson@fripl.com,active,female,Montenegro,2669220749
David,Floyd,david.floyd@fripl.com,123456789,1976-07-29,2022-09-18,Account Executive,Sales,No,matthew.snyder@fripl.com,active,female,United States Virgin Islands,347.579.8945x98972
Jose,Kim,jose.kim@fripl.com,123456789,1992-12-27,2025-01-28,Finance Manager,Finance,Yes,kristina.brandt@fripl.com,active,male,Panama,+1-618-570-2098x6592
Dr.,Brooke,dr..brooke@fripl.com,123456789,1973-04-26,2024-02-23,Paralegal,Legal,No,melinda.brown@fripl.com,active,male,Antarctica (the territory South of 60 deg S),(802)933-2297
Regina,Oliver,regina.oliver@fripl.com,123456789,1993-01-12,2024-11-26,Content Strategist,Marketing,No,adam.ware@fripl.com,active,male,Lithuania,(567)325-3164
Daryl,Robinson,daryl.robinson@fripl.com,123456789,1966-06-20,2024-05-14,Paralegal,Legal,No,melinda.brown@fripl.com,active,female,Mauritania,(236)174-6374x8221
Laura,Barron,laura.barron@fripl.com,123456789,1975-07-11,2021-03-11,Operations Associate,Operations,No,kenneth.khan@fripl.com,active,male,Malta,+1-299-002-3651x1464
Melanie,Richards,melanie.richards@fripl.com,123456789,1987-06-03,2024-03-20,IT Support,Information technology,No,ann.thompson@fripl.com,active,male,Eritrea,001-651-884-4803
Mr.,Tyrone,mr..tyrone@fripl.com,123456789,1983-07-07,2021-09-08,Content Strategist,Marketing,No,adam.ware@fripl.com,active,female,Macedonia,001-235-584-2607x046
Michael,Guzman,michael.guzman@fripl.com,123456789,1987-07-27,2023-03-07,IT Support,Information technology,No,ann.thompson@fripl.com,active,female,Korea,(268)195-6407
Christine,Hall,christine.hall@fripl.com,123456789,1988-01-19,2021-03-10,Sales Manager,Sales,Yes,matthew.snyder@fripl.com,active,female,Egypt,365.008.1212x613
Dennis,Webster,dennis.webster@fripl.com,123456789,1982-10-06,2024-02-28,Finance Analyst,Finance,No,kristina.brandt@fripl.com,active,female,Zimbabwe,4300538099
Hannah,Hernandez,hannah.hernandez@fripl.com,123456789,1989-09-10,2021-04-19,IT Manager,Information technology,Yes,ann.thompson@fripl.com,active,male,Kyrgyz Republic,307-045-0831
Grace,Wang,grace.wang@fripl.com,123456789,1971-12-26,2025-04-03,HR Manager,Human Ressources,Yes,anthony.frost@fripl.com,active,male,Greenland,+1-892-256-8118x12090
